taxon
Harryflintia acetispora
Bilophila wadsworthia
Ruminococcus gnavus
Coprococcus comes
Campylobacter jejuni
Fusobacterium mortiferum
Phascolarctobacterium succinatutens
[Collinsella] massiliensis
Collinsella intestinalis
Blautia sp. CAG 257
Roseburia sp. CAG 182
Eubacterium sp. CAG 38
Turicimonas muris
Turicibacter sanguinis
Bifidobacterium catenulatum
Bacteroides massiliensis
Roseburia hominis
Desulfovibrionaceae bacterium
Ruminococcus sp. CAG 330
Scardovia wiggsiae
Bacteroides finegoldii
Eubacterium sp. CAG 180
Collinsella stercoris
Proteobacteria bacterium CAG 139
Clostridium sp. CAG 58
