taxa_name
Akkermansia muciniphila ATCC BAA 835
Alistipes onderdonkii DSM 19147
Alistipes shahii WAL 8301
Anaerostipes hadrus DSM 3319
Bacteroides caccae CL03T12C61
Bacteroides coprophilus DSM 18228
Bacteroides dorei CL03T12C01
Bacteroides eggerthii DSM 20697
Bacteroides fragilis YCH46
Bacteroides ovatus ATCC 8483
Bacteroides stercoris ATCC 43183
Bacteroides uniformis CL03T12C37
Bacteroides vulgatus ATCC 8482
Bacteroides xylanisolvens XB1A
Bifidobacterium adolescentis ATCC 15703
Bifidobacterium kashiwanohense DSM 21854
Bifidobacterium longum subsp longum 35B
Bifidobacterium pseudocatenulatum DSM 20438
Blautia obeum ATCC 29174
Blautia wexlerae DSM 19850
Butyrivibrio crossotus DSM 2876
Collinsella aerofaciens ATCC 25986
Coprococcus sp HPP0048
Dorea longicatena DSM 13814
Escherichia coli O157 H7 EDL933
Eubacterium rectale DSM 17629
Faecalibacterium prausnitzii A2 165
Faecalibacterium prausnitzii L2 6
Lachnospiraceae bacterium 1 4 56FAA
Lachnospiraceae bacterium sp 8 1 57FAA
Megasphaera massiliensis NP3
Parabacteroides distasonis ATCC 8503
Prevotella copri CB7 DSM 18205
Roseburia intestinalis XB6B4
Ruminococcus bicirculans 80 3
Ruminococcus torques L2 14
Ruthenibacterium lactatiformans 668
Streptococcus salivarius 57 I
